clinchIndicator,conferenceAbbrev,conferenceHomeSequence,conferenceL10Sequence,conferenceName,conferenceRoadSequence,conferenceSequence,date,divisionAbbrev,divisionHomeSequence,divisionL10Sequence,divisionName,divisionRoadSequence,divisionSequence,gameTypeId,gamesPlayed,goalDifferential,goalDifferentialPctg,goalAgainst,goalFor,goalsForPctg,homeGamesPlayed,homeGoalDifferential,homeGoalsAgainst,homeGoalsFor,homeLosses,homeOtLosses,homePoints,homeRegulationPlusOtWins,homeRegulationWins,homeTies,homeWins,l10GamesPlayed,l10GoalDifferential,l10GoalsAgainst,l10GoalsFor,l10Losses,l10OtLosses,l10Points,l10RegulationPlusOtWins,l10RegulationWins,l10Ties,l10Wins,leagueHomeSequence,leagueL10Sequence,leagueRoadSequence,leagueSequence,losses,otLosses,placeName,pointPctg,points,regulationPlusOtWinPctg,regulationPlusOtWins,regulationWinPctg,regulationWins,roadGamesPlayed,roadGoalDifferential,roadGoalsAgainst,roadGoalsFor,roadLosses,roadOtLosses,roadPoints,roadRegulationPlusOtWins,roadRegulationWins,roadTies,roadWins,seasonId,shootoutLosses,shootoutWins,streakCode,streakCount,ties,waiversSequence,wildcardSequence,winPctg,wins,team_name,team_abbrev
y,W,6,1,Western,5,4,2026-04-17,P,3,1,Pacific,2,1,2,82,15,0.182927,250,265,3.231707,41,19,127,146,12,9,49,19,18,0,20,10,15,25,40,0,3,17,7,6,0,7,13,1,13,13,26,17,{'default': 'Vegas'},0.579268,95,0.463415,38,0.365854,30,41,-4,123,119,14,8,46,19,12,0,19,20252026,8,1,W,3,0,20,0,0.47561,39,Golden Knights,VGK
x,W,7,4,Western,7,5,2026-04-17,P,4,2,Pacific,3,2,2,82,13,0.158537,269,282,3.439024,41,3,140,143,14,5,49,22,17,0,22,10,9,23,32,2,2,14,6,5,0,6,14,6,16,14,30,11,{'default': 'Edmonton'},0.567073,93,0.5,41,0.390244,32,41,10,129,139,16,6,44,19,15,0,19,20252026,4,0,W,1,0,19,0,0.5,41,Oilers,EDM
x,W,9,8,Western,6,6,2026-04-17,C,4,5,Central,4,4,2,82,28,0.341463,240,268,3.268293,41,13,124,137,16,3,47,22,17,0,22,10,6,37,43,4,0,12,6,5,0,6,20,15,14,15,33,6,{'default': 'Utah'},0.560976,92,0.52439,43,0.402439,33,41,15,116,131,17,3,45,21,16,0,21,20252026,0,0,L,1,0,18,1,0.52439,43,Mammoth,UTA
e,E,13,14,Eastern,8,10,2026-04-17,A,7,7,Atlantic,5,6,2,82,-17,-0.207317,258,241,2.939024,41,-10,137,127,16,4,46,21,14,0,21,10,-16,45,29,6,2,6,2,2,0,2,23,28,12,16,31,10,{'default': 'Detroit'},0.560976,92,0.47561,39,0.365854,30,41,-7,121,114,15,6,46,18,16,0,20,20252026,4,2,L,1,0,17,4,0.5,41,Red Wings,DET
e,E,9,16,Eastern,10,11,2026-04-17,M,3,8,Metropolitan,5,5,2,82,0,0.0,253,253,3.085366,41,9,126,135,13,8,48,18,17,0,20,10,-13,34,21,7,1,5,1,1,0,2,16,31,17,17,30,12,{'default': 'Columbus'},0.560976,92,0.402439,33,0.341463,28,41,-9,127,118,17,4,44,15,11,0,20,20252026,2,7,L,2,0,16,5,0.487805,40,Blue Jackets,CBJ
x,W,4,14,Western,9,7,2026-04-17,P,1,7,Pacific,4,3,2,82,-15,-0.182927,288,273,3.329268,41,2,143,145,13,4,52,20,15,0,24,10,-11,41,30,6,2,6,2,2,0,2,10,27,23,18,33,6,{'default': 'Anaheim'},0.560976,92,0.426829,35,0.317073,26,41,-17,145,128,20,2,40,15,11,0,19,20252026,0,8,W,1,0,15,0,0.52439,43,Ducks,ANA
e,E,12,13,Eastern,9,12,2026-04-17,M,6,7,Metropolitan,4,6,2,82,-8,-0.097561,241,233,2.841463,41,-2,122,120,17,2,46,19,17,0,22,10,-11,35,24,7,0,6,3,3,0,3,22,26,15,19,34,5,{'default': 'NY Islanders'},0.554878,91,0.47561,39,0.353659,29,41,-6,119,113,17,3,45,20,12,0,21,20252026,5,4,L,3,0,14,6,0.52439,43,Islanders,NYI
x,W,14,5,Western,3,8,2026-04-17,P,7,3,Pacific,1,4,2,82,-22,-0.268293,247,225,2.743902,41,-20,128,108,17,9,39,13,10,0,15,10,1,31,32,2,2,14,5,3,0,6,29,9,7,20,27,20,{'default': 'Los Angeles'},0.54878,90,0.365854,30,0.268293,22,41,-2,119,117,10,11,51,17,12,0,20,20252026,9,5,L,1,0,13,2,0.426829,35,Kings,LAK
e,E,14,10,Eastern,11,13,2026-04-17,M,7,5,Metropolitan,6,7,2,82,-24,-0.292683,254,230,2.804878,41,-3,124,121,17,3,45,19,12,0,21,10,-3,34,31,4,1,11,5,4,0,5,25,19,18,21,37,3,{'default': 'New Jersey'},0.530488,87,0.463415,38,0.353659,29,41,-21,130,109,20,0,42,19,17,0,21,20252026,1,4,L,1,0,12,7,0.512195,42,Devils,NJD
e,W,10,6,Western,10,9,2026-04-17,C,5,3,Central,6,5,2,82,-27,-0.329268,258,231,2.817073,41,-10,126,116,14,7,47,19,17,0,20,10,9,31,40,3,1,13,6,6,0,6,21,11,24,22,33,12,{'default': 'St. Louis'},0.52439,86,0.439024,36,0.402439,33,41,-17,132,115,19,5,39,17,16,0,17,20252026,4,1,W,4,0,11,3,0.45122,37,Blues,STL
e,W,11,12,Western,8,10,2026-04-17,C,6,7,Central,5,6,2,82,-22,-0.268293,269,247,3.012195,41,-5,132,127,17,3,45,18,16,0,21,10,0,30,30,5,1,9,3,3,0,4,24,24,20,23,34,10,{'default': 'Nashville'},0.52439,86,0.402439,33,0.341463,28,41,-17,137,120,17,7,41,15,12,0,17,20252026,2,5,L,2,0,10,4,0.463415,38,Predators,NSH
e,W,8,9,Western,11,11,2026-04-17,P,5,4,Pacific,5,5,2,82,-41,-0.5,292,251,3.060976,41,-16,142,126,14,6,48,19,15,0,21,10,-4,35,31,4,1,11,5,5,0,5,18,18,25,24,35,8,{'default': 'San Jose'},0.52439,86,0.45122,37,0.329268,27,41,-25,150,125,21,2,38,18,12,0,18,20252026,2,2,W,1,0,9,5,0.47561,39,Sharks,SJS
e,E,8,9,Eastern,15,14,2026-04-17,A,6,5,Atlantic,7,7,2,82,-25,-0.304878,276,251,3.060976,41,10,123,133,15,3,49,19,17,0,23,10,1,35,36,4,1,11,5,5,0,5,15,17,29,25,38,4,"{'default': 'Florida', 'fr': 'Floride'}",0.512195,84,0.426829,35,0.390244,32,41,-35,153,118,23,1,35,16,15,0,17,20252026,2,5,W,3,0,8,8,0.487805,40,Panthers,FLA
e,W,12,10,Western,12,12,2026-04-17,C,7,6,Central,7,7,2,82,-29,-0.353659,260,231,2.817073,41,-3,127,124,16,6,44,19,17,0,19,10,-11,37,26,5,0,10,5,4,0,5,26,22,26,26,35,12,{'default': 'Winnipeg'},0.5,82,0.402439,33,0.341463,28,41,-26,133,107,19,6,38,14,11,0,16,20252026,4,2,L,4,0,7,6,0.426829,35,Jets,WPG
e,W,13,16,Western,14,13,2026-04-17,P,6,8,Pacific,6,6,2,82,-37,-0.45122,263,226,2.756098,41,-4,125,121,17,5,43,18,16,0,19,10,-19,39,20,8,0,4,1,1,0,2,28,32,28,27,37,11,{'default': 'Seattle'},0.481707,79,0.390244,32,0.317073,26,41,-33,138,105,20,6,36,14,10,0,15,20252026,6,2,L,3,0,6,7,0.414634,34,Kraken,SEA
e,E,15,15,Eastern,16,15,2026-04-17,A,8,8,Atlantic,8,8,2,82,-46,-0.560976,299,253,3.085366,41,-10,145,135,15,8,44,18,15,0,18,10,-19,47,28,7,1,5,2,1,0,2,27,30,31,28,36,14,{'default': 'Toronto'},0.47561,78,0.378049,31,0.280488,23,41,-36,154,118,21,6,34,13,8,0,14,20252026,4,1,L,5,0,5,9,0.390244,32,Maple Leafs,TOR
e,W,5,11,Western,16,14,2026-04-17,P,2,5,Pacific,8,7,2,82,-47,-0.573171,259,212,2.585366,41,13,107,120,13,5,51,20,18,0,23,10,-7,37,30,5,1,9,4,4,0,4,11,23,32,29,39,9,{'default': 'Calgary'},0.469512,77,0.365854,30,0.329268,27,41,-60,152,92,26,4,26,10,9,0,11,20252026,3,4,W,1,0,4,8,0.414634,34,Flames,CGY
e,E,16,7,Eastern,12,16,2026-04-17,M,8,4,Metropolitan,7,8,2,82,-12,-0.146341,250,238,2.902439,41,-18,124,106,20,7,35,12,9,0,14,10,16,20,36,4,0,12,6,6,0,6,31,13,19,30,39,9,{'default': 'NY Rangers'},0.469512,77,0.378049,31,0.304878,25,41,6,126,132,19,2,42,19,16,0,20,20252026,1,3,W,1,0,3,10,0.414634,34,Rangers,NYR
e,W,15,15,Western,13,15,2026-04-17,C,8,8,Central,8,8,2,82,-62,-0.756098,275,213,2.597561,41,-28,135,107,19,8,36,14,11,0,14,10,-17,42,25,7,1,5,2,2,0,2,30,29,27,31,39,14,{'default': 'Chicago'},0.439024,72,0.317073,26,0.268293,22,41,-34,140,106,20,6,36,12,11,0,15,20252026,5,3,W,1,0,2,9,0.353659,29,Blackhawks,CHI
e,W,16,13,Western,15,16,2026-04-17,P,8,6,Pacific,7,8,2,82,-100,-1.219512,316,216,2.634146,41,-59,160,101,27,5,23,8,6,0,9,10,-12,43,31,6,0,8,3,1,0,4,32,25,30,32,49,8,{'default': 'Vancouver'},0.353659,58,0.231707,19,0.182927,15,41,-41,156,115,22,3,35,11,9,0,16,20252026,2,6,L,1,0,1,10,0.304878,25,Canucks,VAN
